driver_id,constructor_id,position,quali_position,dnf
russell,mercedes,1,1,False
antonelli,mercedes,2,2,False
hadjar,rb,3,3,False
leclerc,ferrari,4,4,False
piastri,mclaren,5,5,False
norris,mclaren,6,6,False
hamilton,ferrari,7,7,False
tsunoda,rb,8,9,False
lawson,red_bull,9,8,False
bortoleto,sauber,10,10,True
hulkenberg,sauber,11,11,False
bearman,haas,12,12,False
ocon,haas,13,13,False
gasly,alpine,14,14,False
albon,williams,15,15,False
doohan,alpine,16,16,False
alonso,aston_martin,17,17,False
verstappen,red_bull,18,20,True
sainz,williams,19,18,True
stroll,aston_martin,20,19,True
